,#miRNA,read_count,precursor,total,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s01(norm),s02(norm),s03(norm),s04(norm),s05(norm),s06(norm),s07(norm),s08(norm),s09(norm),s10(norm),s11(norm),s12(norm),s13(norm),s14(norm),s15(norm),s16(norm),s17(norm),s18(norm),s19(norm),s20(norm),s21(norm),s22(norm),s23(norm),s24(norm)
19,bta-miR-125a,47559.0,bta-mir-125a,47559.0,3599.0,988.0,2740.0,2580.0,720.0,1430.0,1538.0,1022.0,1406.0,4024.0,3480.0,5284.0,160.0,1509.0,3049.0,1071.0,1920.0,2178.0,780.0,1317.0,1437.0,2020.0,1822.0,1485.0,7054.65,2423.65,5510.22,8030.1,1214.97,5391.79,4343.27,1821.78,3508.12,4975.62,7061.6,6364.95,1068.3,3729.59,6618.52,4164.95,3526.51,4013.39,996.41,3341.38,4510.58,3639.56,3880.82,2128.18
20,bta-miR-10a,50257.0,bta-mir-10a,50257.0,3455.0,2449.0,4520.0,1360.0,1835.0,933.0,901.0,1215.0,1892.0,2655.0,2229.0,5153.0,131.0,1207.0,1988.0,1117.0,1783.0,3598.0,4110.0,1097.0,1189.0,1390.0,1289.0,2761.0,6772.39,6007.62,9089.85,4232.92,3096.48,3517.86,2544.4,2165.81,4720.74,3282.87,4523.08,6207.15,874.67,2983.18,4315.39,4343.84,3274.88,6630.02,5250.3,2783.22,3732.14,2504.45,2745.54,3956.85
21,bta-miR-148a,57266.0,bta-mir-148a,57266.0,3399.0,2722.0,4003.0,1387.0,3787.0,1273.0,1054.0,1308.0,1458.0,4612.0,4256.0,4064.0,378.0,1586.0,1977.0,1081.0,2100.0,3543.0,4276.0,1295.0,1324.0,1527.0,1817.0,3039.0,6662.62,6677.31,8050.15,4316.96,6390.4,4799.83,2976.47,2331.59,3637.86,5702.67,8636.26,4895.37,2523.85,3919.9,4291.51,4203.84,3857.12,6528.67,5462.36,3285.57,4155.89,2751.29,3870.17,4355.25
22,bta-miR-16b,49195.0,bta-mir-16b,49195.0,2768.0,2710.0,1945.0,409.0,2955.0,433.0,344.0,1088.0,1152.0,3153.0,1938.0,4125.0,42.0,448.0,1156.0,395.0,2412.0,2228.0,9885.0,1340.0,807.0,1713.0,967.0,4782.0,5425.75,6647.88,3911.45,1272.99,4986.43,1632.62,971.45,1939.43,2874.36,3898.64,3932.58,4968.85,280.43,1107.26,2509.35,1536.09,4430.18,4105.53,12627.55,3399.74,2533.08,3086.42,2059.69,6853.18
23,bta-miR-186,73874.0,bta-mir-186,73874.0,2743.0,4305.0,4357.0,1907.0,5378.0,1669.0,1321.0,3154.0,1944.0,4970.0,3809.0,5076.0,757.0,1220.0,2602.0,1381.0,2905.0,2447.0,8579.0,1599.0,1301.0,2696.0,2143.0,5611.0,5376.74,10560.56,8762.05,5935.43,9075.14,6292.94,3730.47,5622.2,4850.48,6145.33,7729.21,6114.4,5054.38,3015.31,5648.21,5370.49,5335.68,4509.08,10959.21,4056.85,4083.7,4857.55,4564.55,8041.24
24,bta-miR-6529a,50726.0,bta-mir-6529a,50726.0,2495.0,2203.0,2281.0,1479.0,4030.0,1721.0,1937.0,2090.0,1458.0,4366.0,2522.0,3191.0,1037.0,2173.0,1905.0,1242.0,2670.0,2193.0,2248.0,1404.0,1141.0,1317.0,1849.0,1774.0,4890.62,5404.16,4587.16,4603.3,6800.45,6489.0,5470.04,3725.56,3637.86,5398.49,5117.63,3843.78,6923.9,5370.71,4135.22,4829.94,4904.05,4041.03,2871.7,3562.11,3581.47,2372.92,3938.33,2542.36
25,bta-miR-103,29708.0,bta-mir-103-1,29708.0,2414.0,849.0,3339.0,1003.0,730.0,430.0,569.0,1002.0,1104.0,882.0,1921.0,3319.0,82.0,845.0,1171.0,657.0,1094.0,1594.0,2129.0,441.0,790.0,1129.0,679.0,1535.0,4731.85,2082.67,6714.82,3121.78,1231.84,1621.31,1606.84,1786.13,2754.59,1090.58,3898.09,3997.97,547.5,2088.47,2541.91,2554.97,2009.37,2937.26,2719.68,1118.87,2479.72,2034.19,1446.26,2199.84
26,bta-miR-103,29713.0,bta-mir-103-2,29713.0,2413.0,850.0,3340.0,1003.0,729.0,429.0,569.0,1002.0,1104.0,882.0,1920.0,3320.0,82.0,844.0,1173.0,657.0,1095.0,1593.0,2131.0,441.0,791.0,1129.0,679.0,1537.0,4729.89,2085.13,6716.84,3121.78,1230.16,1617.54,1606.84,1786.13,2754.59,1090.58,3896.06,3999.17,547.5,2086.0,2546.25,2554.97,2011.21,2935.42,2722.24,1118.87,2482.86,2034.19,1446.26,2202.71
27,bta-miR-150,55446.0,bta-mir-150,55446.0,2384.0,2468.0,1920.0,1372.0,968.0,1313.0,1434.0,1804.0,2069.0,2610.0,3910.0,5034.0,187.0,1074.0,2629.0,2746.0,3008.0,2952.0,3947.0,1889.0,2843.0,1169.0,1121.0,4595.0,4673.04,6054.23,3861.17,4270.27,1633.46,4950.64,4049.58,3215.74,5162.37,3227.23,7934.16,6063.8,1248.57,2654.46,5706.82,10678.76,5524.86,5439.64,5042.08,4792.62,8923.86,2106.26,2387.71,6585.19
28,bta-miR-21-5p,27588.0,bta-mir-21,27588.0,2352.0,1609.0,1884.0,449.0,1645.0,402.0,204.0,404.0,808.0,1239.0,1718.0,2950.0,63.0,661.0,858.0,426.0,1381.0,1338.0,3004.0,518.0,530.0,1086.0,387.0,1672.0,4610.32,3947.02,3788.78,1397.49,2775.87,1515.73,576.09,720.16,2016.04,1532.01,3486.16,3553.48,420.64,1633.7,1862.48,1656.65,2536.51,2465.53,3837.45,1314.23,1663.61,1956.71,824.3,2396.18
29,bta-miR-107,27427.0,bta-mir-107,27427.0,2310.0,687.0,3210.0,959.0,474.0,379.0,540.0,938.0,1035.0,765.0,1812.0,3103.0,70.0,772.0,1087.0,619.0,974.0,1498.0,1978.0,381.0,761.0,1072.0,646.0,1357.0,4527.99,1685.27,6455.4,2984.83,799.85,1429.01,1524.95,1672.04,2582.43,945.91,3676.9,3737.78,467.38,1908.05,2359.57,2407.19,1788.97,2760.36,2526.79,966.64,2388.69,1931.49,1375.97,1944.74
30,bta-miR-92b,19037.0,bta-mir-92b,19037.0,2192.0,439.0,941.0,549.0,224.0,311.0,305.0,334.0,687.0,925.0,1219.0,1435.0,28.0,1221.0,884.0,626.0,1114.0,1126.0,701.0,698.0,1061.0,860.0,563.0,594.0,4296.69,1076.91,1892.38,1708.73,377.99,1172.62,861.31,595.38,1714.14,1143.75,2473.59,1728.56,186.95,3017.78,1918.91,2434.41,2046.11,2074.88,895.49,1770.91,3330.36,1549.52,1199.18,851.27
31,bta-miR-30a-5p,24046.0,bta-mir-30a,24046.0,2177.0,900.0,1739.0,747.0,393.0,752.0,489.0,847.0,806.0,1319.0,2003.0,1704.0,90.0,570.0,1023.0,496.0,821.0,1372.0,1794.0,426.0,1158.0,859.0,656.0,905.0,4267.29,2207.78,3497.18,2325.0,663.17,2835.4,1380.92,1509.83,2011.05,1630.92,4064.48,2052.59,600.92,1408.79,2220.64,1928.87,1507.95,2528.18,2291.74,1080.81,3634.83,1547.71,1397.27,1296.97
32,bta-miR-375,59106.0,bta-mir-375,59106.0,2110.0,1655.0,1603.0,1546.0,482.0,2206.0,3549.0,6886.0,1980.0,2716.0,2455.0,1667.0,298.0,2057.0,2548.0,1133.0,6029.0,2066.0,3475.0,2641.0,2549.0,2096.0,2263.0,3096.0,4135.96,4059.87,3223.68,4811.84,813.35,8317.69,10022.28,12274.73,4940.3,3358.29,4981.68,2008.02,1989.7,5084.01,5530.99,4406.06,11073.6,3807.01,4439.12,6700.53,8001.03,3776.49,4820.14,4436.94
33,bta-miR-451,74485.0,bta-mir-451,74485.0,2073.0,3414.0,2386.0,1158.0,5290.0,1527.0,1587.0,3592.0,1887.0,4892.0,2957.0,5328.0,143.0,632.0,2157.0,760.0,3399.0,2421.0,13197.0,2283.0,1095.0,3708.0,2119.0,6480.0,4063.43,8374.85,4798.31,3604.21,8926.64,5757.53,4481.65,6402.97,4708.26,6048.89,6000.33,6417.95,954.79,1562.03,4682.24,2955.52,6243.02,4461.17,16858.45,5792.24,3437.08,6680.94,4513.43,9286.62
34,bta-miR-221,45029.0,bta-mir-221,45029.0,1769.0,1893.0,2715.0,1123.0,6196.0,525.0,574.0,1249.0,1050.0,2974.0,2634.0,4059.0,1017.0,1581.0,1148.0,795.0,1617.0,2098.0,4253.0,605.0,578.0,1042.0,806.0,2728.0,3467.54,4643.7,5459.94,3495.27,10455.48,1979.5,1620.96,2226.42,2619.86,3677.31,5344.9,4889.35,6790.37,3907.54,2491.98,3091.63,2969.98,3865.98,5432.98,1534.96,1814.28,1877.44,1716.76,3909.55
35,bta-miR-378,37773.0,bta-mir-378-1,37773.0,1726.0,773.0,3280.0,1373.0,1363.0,925.0,1384.0,3065.0,1260.0,1365.0,2083.0,2943.0,988.0,997.0,1390.0,824.0,1108.0,1818.0,2636.0,643.0,913.0,1035.0,1053.0,2828.0,3383.25,1896.24,6596.17,4273.38,2300.0,3487.7,3908.38,5463.56,3143.83,1687.8,4226.82,3545.05,6596.74,2464.15,3017.3,3204.41,2035.09,3350.02,3367.35,1631.37,2865.81,1864.82,2242.87,4052.86
36,bta-miR-378,37480.0,bta-mir-378-2,37480.0,1705.0,777.0,3239.0,1362.0,1374.0,922.0,1368.0,3017.0,1252.0,1363.0,2081.0,2929.0,985.0,988.0,1381.0,815.0,1098.0,1799.0,2612.0,643.0,908.0,1038.0,1045.0,2779.0,3342.09,1906.05,6513.72,4239.15,2318.56,3476.39,3863.2,5377.99,3123.87,1685.33,4222.76,3528.18,6576.71,2441.91,2997.76,3169.41,2016.72,3315.01,3336.69,1631.37,2850.11,1870.23,2225.83,3982.64
37,bta-miR-425-5p,29785.0,bta-mir-425,29785.0,1430.0,1291.0,1411.0,871.0,2299.0,733.0,739.0,1444.0,910.0,2210.0,1428.0,1877.0,361.0,1016.0,1248.0,765.0,1476.0,1370.0,1853.0,758.0,597.0,1120.0,1037.0,1541.0,2803.04,3166.94,2837.56,2710.94,3879.46,2763.76,2086.92,2574.02,2270.54,2732.63,2897.69,2260.98,2410.35,2511.11,2709.06,2974.96,2711.0,2524.49,2367.11,1923.14,1873.92,2017.97,2208.79,2208.44
38,bta-miR-215,26016.0,bta-mir-215,26016.0,1424.0,804.0,173.0,933.0,307.0,391.0,514.0,1424.0,1619.0,1054.0,2020.0,2386.0,25.0,657.0,505.0,475.0,1512.0,826.0,492.0,567.0,1159.0,1927.0,1124.0,3698.0,2791.28,1972.28,347.91,2903.91,518.05,1474.26,1451.52,2538.37,4039.57,1303.26,4098.98,2874.1,166.92,1623.82,1096.21,1847.2,2777.12,1522.07,628.5,1438.55,3637.97,3472.0,2394.1,5299.68
39,bta-miR-27a-3p,12525.0,bta-mir-27a,12525.0,1424.0,286.0,1095.0,436.0,245.0,151.0,128.0,210.0,457.0,375.0,1055.0,1544.0,16.0,289.0,575.0,300.0,396.0,1044.0,719.0,184.0,504.0,529.0,176.0,387.0,2791.28,701.58,2202.08,1357.03,413.43,569.34,361.47,374.34,1140.26,463.68,2140.8,1859.86,106.83,714.28,1248.16,1166.65,727.34,1923.78,918.48,466.83,1582.0,953.13,374.88,554.62
40,bta-miR-660,20799.0,bta-mir-660,20799.0,1411.0,681.0,1863.0,666.0,718.0,472.0,416.0,717.0,693.0,1152.0,1330.0,2094.0,98.0,605.0,794.0,511.0,681.0,1493.0,1271.0,466.0,536.0,642.0,495.0,994.0,2765.8,1670.55,3746.55,2072.89,1211.59,1779.67,1174.77,1278.1,1729.11,1424.43,2698.83,2522.37,654.33,1495.3,1723.55,1987.2,1250.81,2751.15,1623.63,1182.3,1682.44,1156.73,1054.34,1424.52
41,bta-miR-151-3p,31442.0,bta-mir-151,31442.0,1210.0,1909.0,1854.0,753.0,2199.0,513.0,563.0,943.0,1032.0,2281.0,1751.0,2181.0,295.0,864.0,989.0,645.0,1182.0,1263.0,3600.0,612.0,417.0,886.0,829.0,2671.0,2371.8,4682.95,3728.45,2343.67,3710.72,1934.26,1589.9,1680.96,2574.95,2820.42,3553.12,2627.17,1969.67,2135.43,2146.84,2508.3,2171.01,2327.33,4598.81,1552.72,1308.92,1596.36,1765.75,3827.87
42,bta-miR-23a,15739.0,bta-mir-23a,15739.0,1196.0,475.0,1603.0,597.0,532.0,235.0,182.0,393.0,551.0,664.0,1075.0,1587.0,83.0,403.0,813.0,492.0,556.0,960.0,1077.0,247.0,485.0,514.0,296.0,723.0,2344.36,1165.22,3223.68,1858.13,897.73,886.06,513.96,700.55,1374.8,821.03,2181.39,1911.65,554.18,996.04,1764.79,1913.31,1021.22,1768.99,1375.81,626.67,1522.36,926.11,630.47,1036.15
43,bta-miR-125b,19593.0,bta-mir-125b-2,19593.0,1087.0,397.0,588.0,1104.0,367.0,828.0,701.0,554.0,642.0,2076.0,1491.0,1987.0,75.0,397.0,917.0,418.0,1099.0,493.0,461.0,587.0,634.0,874.0,1033.0,783.0,2130.7,973.88,1182.48,3436.14,619.3,3121.96,1979.61,987.54,1601.86,2566.94,3025.53,2393.48,500.76,981.21,1990.55,1625.54,2018.56,908.45,588.9,1489.29,1990.06,1574.74,2200.27,1122.13
44,bta-miR-125b,19590.0,bta-mir-125b-1,19590.0,1086.0,397.0,588.0,1104.0,367.0,827.0,701.0,554.0,642.0,2076.0,1491.0,1987.0,75.0,397.0,917.0,417.0,1100.0,492.0,461.0,587.0,634.0,874.0,1033.0,783.0,2128.74,973.88,1182.48,3436.14,619.3,3118.19,1979.61,987.54,1601.86,2566.94,3025.53,2393.48,500.76,981.21,1990.55,1621.65,2020.39,906.61,588.9,1489.29,1990.06,1574.74,2200.27,1122.13
45,bta-miR-26a,15715.0,bta-mir-26a-2,15715.0,1022.0,1141.0,940.0,213.0,1319.0,219.0,166.0,266.0,413.0,580.0,713.0,1714.0,91.0,384.0,588.0,215.0,852.0,784.0,1302.0,378.0,380.0,467.0,185.0,1383.0,2003.29,2798.98,1890.37,662.95,2225.75,825.74,468.78,474.16,1030.48,717.16,1446.82,2064.63,607.59,949.08,1276.38,836.1,1564.89,1444.67,1663.23,959.03,1192.78,841.42,394.05,1982.01
46,bta-miR-26a,15711.0,bta-mir-26a-1,15711.0,1022.0,1141.0,940.0,213.0,1317.0,219.0,166.0,266.0,413.0,579.0,713.0,1714.0,91.0,384.0,588.0,215.0,852.0,784.0,1302.0,378.0,379.0,467.0,185.0,1383.0,2003.29,2798.98,1890.37,662.95,2222.38,825.74,468.78,474.16,1030.48,715.92,1446.82,2064.63,607.59,949.08,1276.38,836.1,1564.89,1444.67,1663.23,959.03,1189.64,841.42,394.05,1982.01
47,bta-miR-29a,12879.0,bta-mir-29a,12879.0,1022.0,477.0,1073.0,381.0,303.0,150.0,87.0,240.0,378.0,536.0,1116.0,1474.0,8.0,239.0,466.0,315.0,339.0,728.0,1371.0,175.0,439.0,379.0,307.0,876.0,2003.29,1170.12,2157.83,1185.84,511.3,565.57,245.69,427.82,943.15,662.76,2264.58,1775.54,53.41,590.7,1011.55,1224.99,622.65,1341.48,1751.38,444.0,1377.97,682.87,653.9,1255.41
48,bta-miR-99b,15819.0,bta-mir-99b,15819.0,1000.0,361.0,787.0,877.0,361.0,524.0,594.0,560.0,819.0,1015.0,853.0,1444.0,64.0,695.0,933.0,456.0,577.0,611.0,523.0,443.0,604.0,461.0,653.0,604.0,1960.17,885.57,1582.68,2729.61,609.17,1975.73,1677.44,998.24,2043.49,1255.03,1730.9,1739.4,427.32,1717.74,2025.28,1773.31,1059.79,1125.89,668.1,1123.94,1895.89,830.61,1390.88,865.6
49,bta-miR-143,10215.0,bta-mir-143,10215.0,944.0,290.0,1329.0,314.0,202.0,156.0,189.0,217.0,389.0,310.0,1120.0,894.0,32.0,256.0,326.0,186.0,270.0,1170.0,353.0,144.0,383.0,417.0,131.0,193.0,1850.4,711.4,2672.66,977.31,340.87,588.2,533.73,386.82,970.6,383.31,2272.7,1076.89,213.66,632.72,707.65,723.32,495.92,2155.95,450.94,365.34,1202.19,751.34,279.03,276.59
50,bta-miR-2284y,23825.0,bta-mir-2284x,23825.0,935.0,1030.0,1517.0,879.0,996.0,798.0,776.0,1350.0,937.0,1340.0,1145.0,1667.0,468.0,583.0,980.0,743.0,845.0,831.0,1805.0,573.0,499.0,704.0,692.0,1732.0,1832.76,2526.68,3050.73,2735.84,1680.71,3008.85,2191.4,2406.46,2337.91,1656.89,2323.43,2008.02,3124.77,1440.92,2127.3,2889.41,1552.03,1531.28,2305.79,1453.77,1566.31,1268.44,1473.95,2482.16
